vault_id,bank_id,start_x,end_x,start_y,end_y,z
29,14,128,255,104,107,7
29,15,128,255,108,111,7
30,0,128,255,112,115,0
30,1,128,255,116,119,0
30,2,128,255,112,115,1
30,3,128,255,116,119,1
30,4,128,255,112,115,2
30,5,128,255,116,119,2
30,6,128,255,112,115,3
30,7,128,255,116,119,3
30,8,128,255,112,115,4
30,9,128,255,116,119,4
30,10,128,255,112,115,5
30,11,128,255,116,119,5
30,12,128,255,112,115,6
30,13,128,255,116,119,6
30,14,128,255,112,115,7
30,15,128,255,116,119,7
31,0,128,255,120,123,0
31,1,128,255,124,127,0
31,2,128,255,120,123,1
31,3,128,255,124,127,1
31,4,128,255,120,123,2
31,5,128,255,124,127,2
31,6,128,255,120,123,3
31,7,128,255,124,127,3
31,8,128,255,120,123,4
31,9,128,255,124,127,4
31,10,128,255,120,123,5
31,11,128,255,124,127,5
31,12,128,255,120,123,6
31,13,128,255,124,127,6
31,14,128,255,120,123,7
31,15,128,255,124,127,7
